DATE,ASPUS
10/1/2012," 297,700.00 "
1/1/2013," 307,400.00 "
4/1/2013," 320,400.00 "
7/1/2013," 324,400.00 "
10/1/2013," 334,400.00 "
1/1/2014," 331,400.00 "
4/1/2014," 340,600.00 "
7/1/2014," 340,400.00 "
10/1/2014," 369,400.00 "
1/1/2015," 348,000.00 "
4/1/2015," 339,700.00 "
7/1/2015," 347,400.00 "
10/1/2015," 366,700.00 "
1/1/2016," 357,000.00 "
4/1/2016," 357,900.00 "
7/1/2016," 358,800.00 "
10/1/2016," 364,900.00 "
1/1/2017," 374,800.00 "
4/1/2017," 376,900.00 "
7/1/2017," 373,200.00 "
10/1/2017," 399,700.00 "
1/1/2018," 374,600.00 "
4/1/2018," 378,400.00 "
7/1/2018," 392,900.00 "
10/1/2018," 384,000.00 "
1/1/2019," 375,500.00 "
4/1/2019," 376,700.00 "
7/1/2019," 382,700.00 "
10/1/2019," 384,600.00 "
1/1/2020," 383,000.00 "
4/1/2020," 374,500.00 "
7/1/2020," 397,800.00 "
10/1/2020," 403,900.00 "
1/1/2021," 418,600.00 "
4/1/2021," 440,600.00 "
7/1/2021," 473,000.00 "
10/1/2021," 497,300.00 "
1/1/2022," 514,100.00 "
4/1/2022," 527,500.00 "
7/1/2022," 547,800.00 "
10/1/2022," 535,800.00 "
